process,software,data item,data model,data format specification,interchange format,data visualization,data validation,inference,source
,,SweetWiki,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,,WordNet,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,,BabelNet,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,MS Word,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
crawling,,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,Google,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,SemSearch,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,Protégé,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
Capture and Reuse Engineering Experience,,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,Daedalus,,,,,,,,Xie - 2013 - Application of context aware systems to support kn
,,,YAWL,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
,,,,XML,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
,reasoner,,,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
,process integration and design optimization (PIDO),,,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
,simulation workflow management (SWFM),,,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
selection of a suitable MDO architecture for the problem at hand,,,,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
definition of the optimization problem,,,,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
integrate the MDO architecture in an executable workflow,,,,,,,,,Hoogreef et al. - 2015 - A multidisciplinary design optimization advisory s
,,,,drawing exchange format (DXF),,,,,"Qin et al. - 2017 - Status, Comparison, and Issues of Computer-Aided D"
,,,VAMPzero,,,,,,Nagel et al. - 2012 - Communication in aircraft design Can we establish
,,,OpenVSP,,,,,,
,,,RDS,,,,,,
