,design,development,analysis,processing,review,evaluation,detailed,manufacturing,optimization,creation,check,reasoning,training,failure,acquisition,inference,manufacture,system design,navigation,knowledge engineering,scheduling,certification,archive,product design,solving,concept design,knowledge management,dissemination,information search,plm,decision support,product support,system integration,knowledge based engineering,resource description,mission analysis,ontology modeling,mdao,engine analysis,knowledge capture,project planning,disciplinary analysis,problem solving,semantic representation,authoring,test report,data visualization,information sharing,customer service,flight test,product verification,system arch,recycling,system specification,knowledge interaction,information classification,preliminary design,calculation report,ground test,ontological engineering,automated reasoning,system architecting,alm,detailed design,configuration management,data validation,data storage,knowledge base building,life cycle simulation,conceptual modelling,workflow management,analyzing,access product design data,feature processing,knowledge classification,knowledge storage,failure management,express ontology,system synthesis,multidisciplinary modeling,knowledge discovery,summarizing,crawling,product data management,link analysis,system identification,design space visualization,general assembly,knowledge exploration,context inference,enterprise resource planning,structural solver,flight test report,information push,tooling development,share documents,semantic lexicon,nation decision,design concepts formalization,semantic information transferring,access,word,api,excel,google,matlab,protégé,catia,eclipse,reasoner,tr,outlook,wikipedia,expert system,solidworks,oracle,rce,optimus,modelcenter,sumo,sas,file server,tigl,aaa,isight,brics,flops,express application,openmdao,tornado,tixi,ceasiom,spss,git,share point,workflow system,cad programming interface,data mining,python application,learning tools,prado,ideas,java application,imagenet,web server,syndeia,networkx,ug,jade,triple store,ke-chain,eclipse plugin,pykechain,jupyter notebook,janus,proteus,semsearch,whatsopt,multilinq,texttoonto,visualization package, engineering java programming,surrogate model repository,oracle server,vivisimo,solidedge,pest,fsms,cpacspy library,cfview,kaon,saxon,mopcssoviz,daedalus,davetools,description,material,ontology,difficulty,cad,image,quantity,knowledge base,taxonomy,metadata,video,audio,documents,animation,knowledge graph,bom,manufacturing method,forms,section description,system definition,mind map,assemblies,measurement data,cad representation,business logic,freebase,capp,images,design parts,word doc,babelnet,explicit geometry,sysml model,lexical data,tooling parts,object definitions,ikewiki,sweetwiki,animations,express,uml,python,sql,sysml,sysml ,sparql,vba,wordnet,cmdows,nosql,aerospace ontology,postgresql,kadmos,bfo,rds,openvsp,cypher,xquery,codex,xml-schema-definition,nasa taxonomy,owl dl,bond graphs,rvf,mdax,cco,vampzero,topic maps,orbital space environment domain ontology,fortan,dtad,yawl,addam,multiwordnet,serql,step,database,add,xml,owl,rdf,html,pdf,json,cpacs,iges,csv,vrml,soap,flash,direct api,stl,txt,dxf,jpeg,mpeg,parasolid,ms word,gif,png,igs,acis,jpg,mov,dwf,postscript,flat file,ms excel,tiff,wrp,dwg,wav,jpgs,wmv
product support,21,21,20,17,15,16,14,18,13,11,12,15,8,11,11,11,11,9,3,9,5,3,4,11,4,5,4,4,3,5,2,21,4,4,2,0,2,1,1,2,2,0,1,1,0,1,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,19,13,6,3,4,2,4,5,2,2,1,2,3,1,4,2,1,2,0,0,1,1,1,0,0,1,0,2,0,0,1,0,1,0,1,0,0,2,1,2,0,1,1,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,16,14,9,10,6,4,13,9,3,4,1,3,1,3,3,2,2,4,1,0,1,0,2,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,14,9,4,4,2,2,1,1,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19,17,13,14,8,4,9,4,0,1,0,0,3,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
system integration,20,20,18,18,13,14,14,12,12,14,12,11,7,10,7,9,7,8,4,6,7,2,3,4,1,4,3,1,4,9,2,4,20,2,2,2,2,1,1,0,1,2,0,2,0,0,1,4,2,0,1,0,0,1,0,1,3,2,0,1,1,0,2,0,2,0,1,1,0,0,1,1,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,11,12,3,5,3,2,3,4,5,4,1,2,3,1,3,3,3,3,1,0,2,2,0,2,1,1,1,1,0,2,1,0,1,1,2,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,12,5,9,4,5,8,6,10,2,1,3,1,1,2,1,0,0,1,0,0,4,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,14,9,9,4,5,5,5,0,2,1,2,0,2,0,1,0,1,2,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,17,16,18,16,6,8,6,3,5,3,3,2,2,5,1,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
knowledge based engineering,14,14,13,11,12,11,10,11,13,10,9,8,10,6,9,7,9,7,4,14,4,3,1,6,3,4,3,1,0,8,1,4,2,14,2,2,1,0,1,2,2,2,1,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,13,10,7,4,4,2,5,7,4,1,3,4,3,1,3,3,2,0,2,0,0,0,3,0,1,0,1,1,0,2,2,2,0,1,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,11,5,10,6,5,14,6,3,3,3,0,4,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,10,6,1,2,2,1,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,12,8,11,6,3,5,1,3,4,4,1,2,0,0,1,3,0,1,0,0,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
resource description,13,13,13,9,11,9,7,9,7,10,7,9,5,4,8,7,5,5,3,6,2,2,3,2,3,3,3,3,3,3,0,2,2,2,13,1,3,0,2,1,2,1,1,0,3,0,1,1,0,0,1,1,0,0,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,9,6,3,3,1,7,4,3,2,2,2,2,1,2,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,13,9,11,7,7,7,5,5,5,4,4,5,2,2,0,1,0,0,2,1,1,2,1,0,1,2,0,0,1,0,1,0,0,0,0,0,1,1,0,11,7,2,1,2,2,2,2,2,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,9,8,7,8,8,4,2,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mission analysis,13,13,13,9,12,10,10,9,11,7,9,6,8,8,3,3,5,4,7,4,4,5,4,2,1,2,4,2,1,1,1,0,2,2,1,13,1,1,3,2,1,2,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,2,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,7,6,2,3,2,3,4,2,2,2,4,0,1,2,2,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,7,8,6,6,7,3,5,3,4,4,2,1,1,1,2,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,1,3,1,4,4,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,12,11,12,7,2,3,4,3,2,3,2,0,2,0,3,1,2,1,2,2,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
ontology modeling,13,13,12,11,9,9,8,7,6,9,7,12,5,1,5,8,5,3,3,4,4,0,2,4,1,2,4,2,3,2,4,2,2,1,3,1,13,0,0,2,1,0,1,2,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,2,4,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,12,7,4,1,0,1,6,2,3,7,2,1,1,0,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,13,5,4,4,8,6,7,7,4,3,0,2,2,2,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,2,2,2,8,1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,10,12,10,9,11,10,3,3,1,0,1,2,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
mdao,13,13,13,8,10,10,12,8,13,10,10,3,4,4,4,4,5,9,2,3,4,8,2,1,2,3,0,4,1,2,1,1,1,0,0,1,0,13,1,1,0,6,1,0,0,0,4,1,1,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6,6,4,4,0,4,3,1,1,3,1,5,0,3,10,8,4,0,1,1,3,2,2,6,2,0,3,0,3,0,1,1,0,3,1,1,1,0,2,0,0,0,0,1,2,0,0,0,1,0,2,1,0,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,8,4,6,7,4,5,2,2,5,3,1,2,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,8,4,5,5,1,1,0,9,2,0,1,8,0,1,1,1,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,13,10,11,13,1,1,2,2,6,10,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
engine analysis,12,12,12,10,9,10,8,7,8,9,6,6,8,7,4,4,3,5,3,2,5,5,0,3,3,2,2,0,2,1,1,1,1,1,2,3,0,1,12,0,3,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,7,3,3,2,2,0,2,1,1,1,2,0,3,0,1,1,0,0,0,0,2,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,5,7,3,3,5,6,5,3,2,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,3,1,4,4,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,10,9,9,3,3,2,4,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knowledge capture,12,12,12,11,10,8,8,7,5,9,6,6,6,5,7,5,4,4,3,5,1,3,4,4,1,1,3,2,3,1,1,2,0,2,1,2,2,1,0,12,1,0,0,2,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,6,5,3,3,2,3,2,0,3,1,1,2,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12,8,10,9,5,7,5,6,4,6,7,3,1,2,0,1,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,1,3,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,9,9,6,7,7,5,3,2,1,1,0,3,0,1,1,1,2,1,1,2,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
project planning,12,12,12,9,11,10,9,7,9,6,4,5,6,5,5,2,6,6,5,2,5,3,1,3,1,3,0,1,1,1,3,2,1,2,2,1,1,0,3,1,12,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10,6,6,3,1,2,1,1,1,1,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,11,8,5,7,5,4,2,5,2,1,3,2,1,3,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,6,11,3,4,3,3,2,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
disciplinary analysis,12,12,12,9,8,7,12,5,12,10,8,1,2,1,3,2,2,7,3,3,1,5,3,3,2,3,1,3,1,2,0,0,2,2,1,2,0,6,1,0,1,12,2,0,0,0,3,2,1,0,2,0,0,0,1,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,8,2,0,1,1,2,5,0,0,2,0,3,0,1,8,5,2,1,0,2,4,0,2,3,0,0,2,0,3,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,12,7,4,5,6,2,5,4,0,5,2,2,0,3,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0,4,4,0,0,0,6,0,0,0,6,0,0,1,0,0,2,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,12,11,9,11,2,1,4,0,3,9,2,1,2,1,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
problem solving,12,11,11,11,10,9,10,6,8,8,5,8,6,4,8,6,7,4,6,5,4,4,5,4,12,3,4,3,3,3,3,1,0,1,1,0,1,1,0,0,0,2,12,0,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,8,6,4,2,2,4,3,3,0,0,2,1,2,1,3,1,2,2,0,0,1,0,1,2,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,11,9,11,6,7,7,5,3,5,4,3,2,2,3,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5,4,3,2,2,1,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,11,9,9,5,5,5,2,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
semantic representation,10,10,9,9,9,7,3,7,4,6,5,7,4,3,3,6,5,2,4,2,2,3,3,2,0,2,2,1,4,1,2,1,2,0,0,1,2,0,0,2,0,0,0,10,0,0,0,1,2,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,7,2,3,1,0,2,0,1,4,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,4,3,3,5,4,6,6,3,1,1,1,1,1,4,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,2,2,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,9,7,6,6,4,3,3,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1
authoring,9,10,9,9,7,10,8,7,5,9,6,6,9,5,7,6,4,1,6,3,3,3,5,0,4,2,1,4,4,3,1,0,0,0,3,0,1,0,1,1,0,0,1,0,10,1,0,0,2,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,9,6,4,3,3,4,2,3,3,1,2,2,1,2,1,0,0,1,2,1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,10,9,8,9,4,9,5,3,4,7,7,6,4,3,0,2,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,8,3,1,3,2,2,4,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,9,10,8,8,6,7,3,2,0,3,1,2,1,1,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
test report,9,9,9,9,6,8,7,6,4,4,7,5,6,7,6,2,4,4,3,5,4,3,5,1,2,1,1,3,3,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,9,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,8,7,5,1,3,2,1,1,2,2,4,1,2,0,0,2,1,0,1,0,1,0,1,0,0,0,1,1,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,5,5,5,2,5,3,4,2,3,3,0,4,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,3,1,1,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,9,8,5,3,4,4,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
data visualization,9,8,8,8,7,6,8,4,8,5,6,3,4,4,3,1,2,6,3,2,2,2,1,1,3,3,1,3,1,1,2,0,1,1,1,0,1,4,0,1,0,3,1,0,0,1,9,0,1,0,1,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,4,2,2,2,1,1,2,0,1,1,0,2,0,0,3,4,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,8,3,5,1,5,3,2,3,1,3,3,1,0,3,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,1,0,0,1,0,0,3,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,7,2,3,1,1,3,4,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
information sharing,9,9,9,7,6,7,7,7,6,8,6,6,4,5,2,5,4,3,2,4,2,2,1,2,0,2,2,0,1,4,1,2,4,0,1,0,1,1,1,0,0,2,0,1,0,0,0,9,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,7,5,2,3,3,2,3,3,3,0,0,1,1,0,0,2,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,5,4,3,4,2,4,5,3,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,2,4,1,2,2,3,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,6,8,9,6,4,2,2,3,4,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
customer service,8,8,7,6,7,5,5,6,6,4,5,4,5,5,3,3,2,3,2,3,2,1,3,0,1,2,0,2,1,1,0,2,2,1,0,0,0,1,1,1,1,1,0,2,2,1,1,0,8,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,3,1,2,0,1,0,1,2,1,0,1,1,0,0,2,1,0,1,0,1,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,7,5,4,3,3,3,2,4,2,3,2,1,2,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,2,2,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,7,7,6,3,3,3,3,1,2,0,0,1,1,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
flight test,7,7,7,6,7,6,2,3,3,4,4,3,6,6,4,3,2,3,5,1,1,3,4,0,1,1,2,2,2,0,1,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,7,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,2,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,2,4,2,4,5,3,2,2,3,3,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,6,5,4,2,3,2,3,1,0,0,2,1,0,1,0,1,1,1,1,1,0,0,2,0,1,1,2,1,1,1,0,0,1,1,1,1,1,1
product verification,7,7,6,4,4,5,6,6,4,4,4,4,3,4,3,4,6,1,2,3,1,3,2,3,2,2,0,2,0,1,1,1,1,1,1,0,1,0,0,0,0,2,1,1,0,0,1,1,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,5,4,1,1,1,3,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,4,4,4,5,3,5,4,1,3,2,2,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,6,3,1,1,0,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
system arch,7,7,6,6,7,7,6,5,5,6,6,4,5,4,4,5,3,2,4,3,2,5,4,1,1,0,2,2,3,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,7,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,4,4,3,4,2,1,2,1,1,0,1,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,6,6,4,4,2,4,4,1,5,3,3,2,2,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,6,2,2,2,2,2,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,7,6,3,4,3,1,2,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
